image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.9086532,0.008806534,0.126647308,0.000467053,0.992528558,0.002673438,0.001567659,0.491191387
img_00007.jpg,0.986957967,0.156472474,0.02814685,0.37669459,0.056383997,0.250240147,0.034331731,0.141613826
img_00009.jpg,0.995826542,0.5967381,0.001085792,0.00167765,0.166572765,0.338515133,0.001468305,0.013375608
img_00018.jpg,0.999940753,0.002038437,0.000661128,0.001074953,0.060451739,0.03724879,0.001944541,0.091799706
img_00027.jpg,0.988668621,0.016734837,0.023665959,0.004044231,0.018667843,0.146298528,0.348500401,0.899363399
img_00030.jpg,0.996062934,0.04088949,0.004325861,0.000731534,0.019906597,0.003586892,0.614264071,0.15697141
img_00040.jpg,0.778216302,0.128709048,0.105581276,0.019175151,0.102509268,0.188752159,0.375036091,0.949719369
img_00046.jpg,0.999388695,0.002864796,0.000961773,0.001064543,0.213694647,0.001620491,0.065871,0.045117661
img_00053.jpg,0.984683573,0.111286141,0.029574925,0.029834222,0.008959793,0.069054924,0.07640738,0.891376972
img_00071.jpg,0.987336338,0.074365191,0.251599461,0.508011162,0.014590509,0.200009823,0.006591248,0.074330389
img_00075.jpg,0.997285485,0.125409335,0.026295915,0.001236137,0.10066662,0.044119712,0.01009762,0.031001717
img_00102.jpg,0.790616155,0.433805674,0.163952023,0.007507582,0.047548696,0.228871569,0.193573654,0.913781762
img_00103.jpg,0.999999762,4.47E-06,4.16E-08,6.25E-08,0.267008543,0.000659646,7.32E-07,0.011877126
img_00109.jpg,0.999220014,0.000560792,0.000389103,8.52E-05,0.19174321,0.00065264,0.016545013,0.880586505
img_00119.jpg,0.942810118,0.010285496,0.000597208,1.48E-06,0.99989605,0.000359709,1.17E-06,0.170743868
img_00120.jpg,0.889753342,0.045881428,0.035467234,0.005705648,0.006420326,0.352861375,0.205207705,0.994903803
img_00125.jpg,0.953640699,0.163967952,0.259668738,0.029547622,0.154533252,0.02190844,0.16324304,0.460617334
img_00128.jpg,0.007647994,0.514813006,0.836215675,0.001514003,0.012876694,0.031867106,0.003897895,0.988921642
img_00129.jpg,0.65676558,0.196507201,0.12763612,0.022525296,0.117084973,0.166922301,0.468947709,0.93197757
img_00133.jpg,0.992593586,0.021340717,0.001161241,4.69E-05,0.993938327,0.030531395,2.05E-05,0.134054437
